Security Code,symbol
,ASTRAZEN
,ASTRON
,ATALREAL
,ATAM
,ATFL
,ATGL
530187,ATHARVENT
539099,ATHCON
517429,ATHENAGLO
538713,ATISHAY
,ATL
,ATLANTAA
,ATLASCYCLE
,ATNINTER
,ATUL
,ATULAUTO
500028,ATVPR
,AUBANK
,AURIONPRO
530233,AUROLAB
,AUROPHARMA
,AURUM
,AUSOMENT
522005,AUSTENG
,AUTOAXLES
,AUTOIND
512277,AUTOINT
,AVADHSUGAR
531310,AVAILFC
,AVALON
512149,AVANCE
532406,AVANTEL
,AVANTIFEED
543737,AVEER
,AVG
540205,AVL
,AVONMORE
,AVROIND
,AVTNPL
544181,AWFIS
,AWHCL
,AWL
513642,AXELPOLY
,AXISBANK
,AXISCADES
533570,AXISGOLD
,AXITA
523850,AXTEL
,AYMSYNTEX
,AZAD
544177,AZTEC
531268,B2BSOFT
532380,BABA
524516,BACPHAR
,BAFNAPH
,BAGFILMS
,BAIDFIN
,BAJAJ-AUTO
,BAJAJCON
,BAJAJELEC
,BAJAJFINSV
,BAJAJHCARE
,BAJAJHIND
,BAJAJHLDNG
507944,BAJAJST
,BAJEL
,BAJFINANCE
,BALAJITELE
,BALAMINES
,BALAXI
539834,BALGOPAL
,BALKRISHNA
,BALKRISIND
,BALLARPUR
,BALMLAWRIE
,BALPHARMA
,BALRAMCHIN
520127,BALTE
531112,BALUFORGE
519295,BAMBINO
531591,BAMPSL
,BANARBEADS
,BANARISUG
509053,BANASFN
,BANCOINDIA
524602,BANDARAM
,BANDHANBNK
,BANG
,BANKA
,BANKBARODA
590106,BANKBEES
,BANKINDIA
,BANSWRAS
523186,BAPACK
,BARBEQUE
500270,BARODARY
513502,BAROEXT
,BASF
,BASML
,BATAINDIA
522004,BATLIBOI
539946,BAZELINTER
,BBL
,BBOX
,BBTC
,BBTCL
517246,BCCFUBA
,BCG
539621,BCLENTERPR
,BCLIND
,BCONCEPTS
537766,BCP
542057,BCPL
524828,BDH
,BDL
,BEARDSELL
,BECTORFOOD
,BEDMUTHA
539018,BEEKAY
532645,BEEYU
,BEL
539399,BELLACASA
522650,BEMHY
,BEML
541178,BENARA
509438,BENARAS
544052,BENCHMARK
533095,BENGALASM
512404,BENGALS
532230,BENGALT
,BEPL
,BERGEPAINT
524606,BERLDRG
531340,BERVINL
531582,BERYLSE
508664,BESTEAST
512477,BETXIND
,BFINVEST
539662,BFLAFL
,BFUTILITIE
511664,BGIL
540545,BGJL
,BGLOBAL
,BGRENERGY
504646,BGWTATO
,BHAGCHEM
,BHAGERIA
,BHAGYANGR
,BHANDARI
538576,BHANDERI
511501,BHARAT
,BHARATFORG
,BHARATGEAR
,BHARATRAS
523229,BHARATSE
,BHARATWIRE
,BHARTIARTL
544162,BHARTIHEXA
540956,BHATIA
,BHEL
514272,BHILSPIN
544137,BHINVIT
526853,BI
524663,BIBCL
,BIGBLOC
524723,BIJHANS
,BIKAJI
,BIL
,BILENERGY
543209,BILLWIN
505681,BIMETAL
,BINANIIND
540148,BINDALEXPO
,BIOCON
,BIOFILCHEM
531752,BIOGEN
543261,BIRET
,BIRLACABLE
,BIRLACORPN
,BIRLAMONEY
522105,BIRLAPREC
,BIRLATYRE
531671,BISIL
526709,BITS
543926,BIZOTIC
,BKMINDST
519500,BKV
,BLAL
,BLBLIMITED
532485,BLIL
,BLISSGVS
,BLKASHYAP
513422,BLOIN
526225,BLOOM
,BLS
,BLSE
531175,BLSINFOTE
,BLUEBLENDS
,BLUECHIP
506981,BLUECHIPT
539607,BLUECLOUDS
,BLUECOAST
,BLUEDART
,BLUEJET
,BLUESTARCO
542669,BMW
508136,BNALTD
526125,BNHOLDINGS
539546,BNL
523019,BNRSEC
530809,BNRUDY
,BODALCHEM
,BOHRAIND
501430,BOMBCYC
504648,BOMBWIR
,BOMDYEING
509470,BOMOXY-B1
511246,BOMTALKIES
