Time,close,signal,Symbol,Market Cap cr,Profit %
2024-06-03,1181.0999755859375,Buy,MCDOWELL-N,85445.0,66056.20826333047%
2024-06-03,1166.25,Sell,MEDANTA,31330.0,77.36101605224609%
2024-06-03,473.8999938964844,Sell,MEDIASSIST,-1.0,8.867320434570312%
2024-06-03,722.0499877929688,Sell,MEDPLUS,8595.0,-0.974337646484375%
2024-06-03,937.3499755859375,Buy,MFSL,32383.0,39839.920775788305%
2024-06-03,20.489999771118164,Sell,MIDCAPIETF,0.0,162.91134604358672%
2024-06-03,450.5,Sell,MIDHANI,8446.0,451.79099417877194%
2024-06-03,232.50999450683594,Sell,MIDQ50ADD,0.0,8.606965209960936%
2024-06-03,21.0,Buy,MIRCELECTR,485.0,2558558.1399404546%
2024-06-03,2.0999999046325684,Buy,MITTAL,62.2,3460.093190906405%
2024-06-03,1178.0,Sell,MMFL,2850.0,6.046838637351989%
2024-06-03,55.63999938964844,Sell,MOGSEC,0.0,-19.36047072982788%
2024-06-03,525.25,Sell,MOIL,10740.0,144.1558689956665%
2024-06-03,78.94999694824219,Sell,MOL,2008.0,43.139340110778804%
2024-06-03,56.93000030517578,Buy,MOM100,-1.0,0.09990964126586914%
2024-06-03,237.9499969482422,Buy,MOM50,0.0,-35.653429000854494%
2024-06-03,540.6500244140625,Buy,MONARCH,-1.0,53.1896075744629%
2024-06-03,21.850000381469727,Buy,MONIFTY500,0.0,12.72193708229065%
2024-06-03,63.22999954223633,Buy,MONQ50,-1.0,-38.18381592941284%
2024-06-03,2374.0,Buy,MOTILALOFS,35461.0,1277.7343895187378%
2024-06-03,1774.75,Sell,MPSLTD,3036.0,-70.99992824172973%
2024-06-03,212.60000610351562,Buy,MRPL,37260.0,257051.72313567114%
2024-06-03,67.6500015258789,Sell,MSUMI,29896.0,-4.262984638214111%
2024-06-03,113.4000015258789,Sell,MUFIN,1711.0,63.739109603881836%
2024-06-03,196.1999969482422,Sell,NATIONALUM,36054.0,3111.786748441696%
2024-06-03,510.6499938964844,Buy,NAVA,7400.0,1658.1906408689022%
2024-06-03,3303.39990234375,Buy,NAVINFLUOR,-1.0,2944.807641101837%
2024-06-03,242.00999450683594,Sell,NAVINIFTY,0.0,-17.84988800048828%
2024-06-03,145.60000610351562,Sell,NAVNETEDUL,3299.0,379.04811786079404%
2024-06-03,150.64999389648438,Sell,NBCC,27136.0,16550.591249466896%
2024-06-03,312.8500061035156,Buy,NCC,19622.0,68910.83051369166%
2024-06-03,263.3999938964844,Sell,NDTV,1698.0,44473.91191918373%
2024-06-03,134.89999389648438,Sell,NELCAST,1171.0,9369.45208364439%
2024-06-03,728.2000122070312,Sell,NELCO,1661.0,742560.0411377087%
2024-06-03,904.6500244140625,Sell,NEWGEN,12655.0,431.1682025032043%
2024-06-03,2321.5,Buy,NGLFINE,1442.0,6.177281982421875%
2024-06-03,1182.550048828125,Sell,NH,24174.0,20.201719375610352%
