Time,close,signal,Symbol,Market Cap cr,Profit %
2024-06-03,123.3499984741211,Sell,HITECH,1776.0,1276.7592543268204%
2024-06-03,25.75,Buy,HLVLTD,1672.0,3149.875134408235%
2024-06-03,52.150001525878906,Sell,HMAAGRO,-1.0,9.542632781982421%
2024-06-03,96.55000305175781,Buy,HMVL,707.0,-85.72364232635498%
2024-06-03,816.9500122070312,Sell,HOMEFIRST,7244.0,19.522150421142577%
2024-06-03,53234.0,Buy,HONAUT,47109.0,9668.97905177307%
2024-06-03,2646.050048828125,Sell,HONDAPOWER,2684.0,-72.19185089111329%
2024-06-03,97.25,Sell,HPAL,894.0,60.57579349136353%
2024-06-03,412.04998779296875,Sell,HPL,2652.0,879.224747663498%
2024-06-03,287.1000061035156,Sell,HUDCO,57464.0,1591.7394684333801%
2024-06-03,135.8000030517578,Sell,IBREALEST,7359.0,16246.40399176407%
2024-06-03,5577.2001953125,Sell,ICRA,5443.0,34.89989526367188%
2024-06-03,16.0,Sell,IDEA,106304.0,116.87293735814094%
2024-06-03,157.8000030517578,Buy,IEX,14080.0,209.6852296447754%
2024-06-03,60.900001525878906,Sell,IFCI,15898.0,22948.258170808556%
2024-06-03,598.7999877929688,Sell,IFGLEXPOR,-1.0,-38.03921667766571%
2024-06-03,468.95001220703125,Buy,IGL,32719.0,1262.5741089115143%
2024-06-03,198.6999969482422,Sell,IIFLSEC,6125.0,542.5723430366517%
2024-06-03,998.0999755859375,Sell,IMPAL,1245.0,-98.90217067718507%
2024-06-03,215.64999389648438,Buy,INDIACEM,6681.0,566.3241918115616%
2024-06-03,606.3499755859375,Buy,INDIANB,81695.0,4987.1319967689515%
2024-06-03,599.1500244140625,Sell,INDIASHLTR,6423.0,1.2712517089843751%
2024-06-03,226.9499969482422,Sell,INDOSTAR,3080.0,97.10486660003662%
2024-06-03,239.6999969482422,Sell,INDRAMEDCO,2201.0,124.23050857686997%
2024-06-03,4419.7998046875,Sell,INGERRAND,13974.0,1603.1731860198975%
2024-06-03,478.5,Sell,INNOVACAP,2743.0,-0.3342353515625%
2024-06-03,137.5,Buy,INOXGREEN,4029.0,235.14995697021484%
2024-06-03,153.35000610351562,Sell,INOXWIND,20007.0,868.4250871882439%
2024-06-03,906.2000122070312,Sell,INTELLECT,12423.0,8141.281981090546%
2024-06-03,175.3000030517578,Buy,IOC,247545.0,255779366.6689621%
2024-06-03,286.95001220703125,Sell,IRCON,27108.0,633.84631807518%
2024-06-03,1054.25,Sell,IRCTC,84229.0,1429.6800195770263%
2024-06-03,191.89999389648438,Sell,IREDA,51592.0,206.28216981506347%
2024-06-03,188.9499969482422,Sell,IRFC,246929.0,347.53274583053593%
2024-06-03,482.04998779296875,Sell,IRMENERGY,1979.0,5.03424853515625%
2024-06-03,743.4500122070312,Buy,ISEC,24038.0,216.10991912841797%
2024-06-03,684.25,Buy,ITDC,5886.0,556.8281795959473%
2024-06-03,900.8499755859375,Buy,JAIBALAJI,14746.0,1587703.93306569%
2024-06-03,301.79998779296875,Buy,JAICORPLTD,5383.0,597588067.2418537%
2024-06-03,2197.35009765625,Sell,JASH,2720.0,-28.255987686157226%
2024-06-03,102.4000015258789,Sell,JAYBARMARU,1107.0,231.20130550980568%
2024-06-03,47.400001525878906,Buy,JAYNECOIND,4589.0,1832288.2119020433%
2024-06-03,2094.050048828125,Sell,JBMA,24770.0,1163.3571045252086%
2024-06-03,1815.449951171875,Sell,JCHAC,4924.0,3611.295576637268%
2024-06-03,4025.949951171875,Buy,JKCEMENT,31077.0,1918.4677662582399%
2024-06-03,384.6000061035156,Sell,JKPAPER,6519.0,5359.399451070786%
2024-06-03,408.6000061035156,Sell,JKTYRE,10654.0,10452.383081449985%
2024-06-03,1180.949951171875,Sell,JLHL,7735.0,6.0566949462890625%
2024-06-03,79.69999694824219,Buy,JMFINANCIL,7621.0,1155.7856819057465%
2024-06-03,14.800000190734863,Sell,JPASSOCIAT,3628.0,138836.50781850552%
2024-06-03,803.3499755859375,Sell,JSL,66080.0,8637.088720009804%
2024-06-03,658.7000122070312,Buy,JSWENERGY,115248.0,829.235015159607%
2024-06-03,6666.75,Sell,JSWHL,7398.0,127957.60700728609%
