symbol,multiplier,period,average_success_percentage,average_loss_percentage,percentage,Market Cap cr
TEMBO.NS,2.5,20,16.51541769267879,-3.0775697515707856,830.4259453582764,423.4308864
LAXMICOT.NS,1.5,8,12.682628506159404,-4.872944225692771,-68.36808883666993,63.1892736
ARCHIES.NS,1.5,7,10.196912098506864,-3.0300389724406447,1327.7414409236908,103.3330176
VRLLOG.NS,1.5,7,7.4059152468482115,-2.245048413304905,145.72619256591796,5123.0298112
GEOJITFSL.NS,1.5,11,14.378836765591013,-3.1284825211462555,1849.2963305044175,4094.1248512
GODREJIND.NS,2.0,13,14.546032884257349,-2.506803274488008,160103.32262018562,40517.9990016
SHEMAROO.NS,3.0,8,16.14031692565234,-3.1551679070159055,381.3927871246338,497.949952
APOLLOPIPE.NS,3.0,9,18.814055555627363,-2.340590399325475,442.194504699707,2706.7527168
JCHAC.NS,2.5,10,12.415024779402216,-3.271081388083898,5271.682748021126,5759.848448
KITEX.NS,1.5,21,12.212000971955646,-2.5755127813576024,2153.237869937897,2801.9775488
JMFINANCIL.NS,2.5,17,11.869218119223317,-2.973161292649633,930.4126909751892,11661.1547136
ELIN.NS,2.0,12,16.636175184152414,-2.1199687504154237,43.29877966308594,1281.0105856
DLINKINDIA.NS,3.0,21,15.812082998689254,-3.1451715952126205,435.649105512619,2367.4791936
BBTC.NS,1.5,21,11.425286124541962,-2.664619685993208,251471.4523737602,19187.9725056
GRWRHITECH.NS,3.0,13,21.550894391006516,-3.0496076038017663,155.45891247558595,7830.8982784
FOODSIN.NS,2.5,15,14.305295208319453,-2.818009955735617,93.22825442504883,1012.5687808
GOLDIAM.NS,3.0,16,17.19533769286483,-3.122732476571064,3614.1180486550334,3593.1181056
MONARCH.NS,3.0,20,25.31258892367592,-3.7815710171634445,112.21624710083007,3315.652608
QUESS.NS,1.5,14,8.520396219883667,-1.945997533819845,1048.788418182373,12178.1272576
AADHARHFC.NS,2.0,14,2.775760325271998,-0.9981161402985785,2.429402893066406,17898.6303488
MATRIMONY.NS,1.5,10,6.395488592461417,-2.085307429826681,-10.876162292480469,1784.1790976
VLSFINANCE.NS,1.5,18,15.786360770282952,-3.1770971947925393,41599.42763757157,1370.4404992
TI.NS,1.5,9,13.524737924727544,-2.7354288914822553,4151.507058921814,5582.516224
AKASH.NS,1.5,12,11.614279610623495,-4.542621741276957,-65.75654916000366,67.6523456
APOLSINHOT.NS,1.5,7,13.214216155614425,-3.1180502525522744,1210.4620130996705,457.7224192
IIFLSEC.NS,3.0,16,24.444604073583534,-3.503494718057656,452.4069620513916,9886.9354496
UGARSUGAR.NS,3.0,12,18.15721428893139,-3.0754071225856405,331.85413318777086,997.0874368
BANSALWIRE.NS,3.0,7,19.633939710096556,0.0,19.611596618652342,6755.3787904
GULFPETRO.NS,2.0,17,13.704979404355806,-3.0413993951851577,253.61967156028746,412.6167552
PRSMJOHNSN.NS,1.5,20,10.95577309220489,-2.6740408120125365,5225.543804075241,9177.2051456
SAKAR.NS,3.0,21,14.103654741411095,-3.6731084419859696,-4.883599880218506,554.6231808
MAZDOCK.NS,2.5,21,29.40589294476286,-2.1497397662486315,1261.5212113952637,96324.4261376
JSWHL.NS,2.5,7,16.067321279087263,-2.5624733844493814,56675.8161539154,8362.0306944
CLSEL.NS,3.0,16,6.208434801052449,-2.673517766357852,3.7690931930541995,1245.0700288
MAZDA.NS,2.5,19,12.44463292413912,-2.5636804350951645,306.98676988220217,539.2131584
CORALFINAC.NS,2.0,14,16.096714843886687,-3.0535168595077233,470.92999258995053,286.5073408
DCW.NS,1.5,8,12.617385881042026,-3.5590500430305636,918.8686035722494,2699.1501312
PGEL.NS,3.0,15,19.26174122348378,-3.8705081914080357,26937.55493408799,14807.949312
FIEMIND.NS,3.0,15,14.929291383560429,-2.6401098990001786,2735.0310807914734,4270.5031168
KANORICHEM.NS,2.0,18,8.8468817616052,-2.926493811923814,68.69345416164398,557.0458624
POLYMED.NS,3.0,7,14.92184349686062,-2.0333438563175914,1162.6413708286286,25376.227328
KINGFA.NS,2.0,10,14.82796660435957,-3.559068558242596,592.169722902298,4097.4061568
SHYAMCENT.NS,3.0,7,20.32356130078985,-3.439725659785232,504.5064352595806,402.7043328
ORIENTCEM.NS,1.5,17,9.060739011768293,-2.399995572094745,1136.8135426368713,6314.0626432
BHARATWIRE.NS,3.0,18,18.941301495625332,-3.0502144980575685,1840.6414435701372,2020.269056
RAMCOSYS.NS,3.0,8,15.002977638744575,-3.282785875326537,33891.29466703415,1658.4054784
RAYMOND.NS,1.5,20,8.45485690348725,-2.6828203118874865,17601.360766853333,13834.7036672
CARTRADE.NS,2.0,9,8.680093668607391,-2.8214616755207236,43.93071307373047,4258.4281088
LTFOODS.NS,1.5,8,15.575040116146113,-2.1940604905040946,87.46022843933106,13822.1830144
KSCL.NS,2.5,21,9.09739604716873,-2.590633066165597,607.2708541889191,5664.9793536
NUVAMA.NS,2.5,8,12.077096903457015,-3.6789997758384767,33.636169921874995,23717.6848384
SKYGOLD.NS,3.0,19,29.89538266699707,-2.9821320973653735,599.7483167114258,3785.6894976
JAIBALAJI.NS,1.5,14,16.94960530942031,-3.1908291273488008,23156389.961857453,19159.9869952
MANORG.NS,1.5,12,11.265852136385078,-3.3608095224141565,11.050506408691406,513.7379328
63MOONS.NS,1.5,11,15.584751496983698,-2.7911212902841926,67891.60340945053,1756.9779712
TREJHARA.NS,2.0,18,23.507046250653918,-3.668018476169162,6005.3252507267,363.6638976
