Time,close,signal,Symbol,Market Cap cr
2024-06-03,1405.9000244140625,Sell,INFY,583840.0
2024-06-03,1129.199951171875,Buy,ISGEC,8314.0
2024-06-03,495.6000061035156,Buy,SYRMA,8815.0
